"Card code","Scheme","Card type","Country","Gateway 1 (Transactions Count)","Gateway 2  (Transactions Count)","Gateway 3  (Transactions Count)",""
"531236","MASTERCARD","Type A","RUSSIAN FEDERATION","358","215","65",""
"528038","MASTERCARD","Type A","ROMANIA","339","204","62",""
"545762","MASTERCARD","Type A","RUSSIAN FEDERATION","334","201","61",""
"549532","MASTERCARD","Type A","ROMANIA","333","200","60",""
"526839","MASTERCARD","Type A","RUSSIAN FEDERATION","319","192","58",""
"546904","MASTERCARD","Type A","RUSSIAN FEDERATION","317","191","58",""
"524335","MASTERCARD","Type A","KOREA REPUBLIC OF","316","190","57",""
"528939","MASTERCARD","Type A","TURKEY","315","189","57",""
"557056","MASTERCARD","Type A","RUSSIAN FEDERATION","313","188","57",""
"528055","MASTERCARD","Type A","GREECE","306","184","56",""
"518901","MASTERCARD","Type A","RUSSIAN FEDERATION","303","182","55",""
"527934","MASTERCARD","Type A","JAPAN","292","176","53",""
"543740","MASTERCARD","Type A","ESTONIA","275","165","50",""
"557661","MASTERCARD","Type A","UNITED ARAB EMIRATES","270","162","49",""
"554782","MASTERCARD","Type A","RUSSIAN FEDERATION","268","161","49",""
"554960","MASTERCARD","Type A","TURKEY","264","159","48",""
"518694","MASTERCARD","Type A","SAUDI ARABIA","263","158","48",""
"515877","MASTERCARD","Type A","GREECE","260","156","47",""
"540926","MASTERCARD","Type A","KOREA REPUBLIC OF","250","150","45",""
"533469","MASTERCARD","Type A","RUSSIAN FEDERATION","248","149","45",""
"549000","MASTERCARD","Type A","RUSSIAN FEDERATION","248","149","45",""
"533598","MASTERCARD","Type A","GREECE","243","146","44",""
"547025","MASTERCARD","Type A","ESTONIA","242","146","44",""
"554781","MASTERCARD","Type A","RUSSIAN FEDERATION","236","142","43",""
"520090","MASTERCARD","Type A","SAUDI ARABIA","236","142","43",""
"522224","MASTERCARD","Type A","RUSSIAN FEDERATION","236","142","43",""
"552722","MASTERCARD","Type A","ROMANIA","234","141","43",""
"552290","MASTERCARD","Type A","KOREA REPUBLIC OF","232","140","42",""
"519304","MASTERCARD","Type A","RUSSIAN FEDERATION","228","137","42",""
"523830","MASTERCARD","Type A","KOREA REPUBLIC OF","228","137","42",""
"533206","MASTERCARD","Type A","RUSSIAN FEDERATION","222","134","40",""
"520636","MASTERCARD","Type A","PORTUGAL","222","134","40",""
"542879","MASTERCARD","Type A","KOREA REPUBLIC OF","221","133","40",""
"518997","MASTERCARD","Type A","RUSSIAN FEDERATION","217","131","40",""
"536354","MASTERCARD","Type A","UKRAINE","217","131","40",""
"554501","MASTERCARD","Type A","SWEDEN","215","129","39",""
"533824","MASTERCARD","Type A","GREECE","214","129","39",""
"538720","MASTERCARD","Type A","KOREA REPUBLIC OF","213","128","39",""
"510053","MASTERCARD","Type A","GREECE","212","128","39",""
"525036","MASTERCARD","Type A","JAPAN","210","126","38",""
"518542","MASTERCARD","Type A","HONG KONG","209","126","38",""
"545865","MASTERCARD","Type A","GREECE","209","126","38",""
"533616","MASTERCARD","Type A","RUSSIAN FEDERATION","208","125","38",""
"518954","MASTERCARD","Type A","ISRAEL","206","124","38",""
"526430","MASTERCARD","Type A","ITALY","204","123","37",""
"548773","MASTERCARD","Type A","ROMANIA","204","123","37",""
"550101","MASTERCARD","Type A","ROMANIA","204","123","37",""
"532180","MASTERCARD","Type A","HUNGARY","202","122","37",""
"520373","MASTERCARD","Type A","RUSSIAN FEDERATION","199","120","36",""
"526483","MASTERCARD","Type A","RUSSIAN FEDERATION","198","119","36",""
"543778","MASTERCARD","Type A","CROATIA","196","118","36",""
"533155","MASTERCARD","Type A","ROMANIA","192","116","35",""
"546470","MASTERCARD","Type A","GREECE","191","115","35",""
"547379","MASTERCARD","Type A","ROMANIA","190","114","35",""
"545285","MASTERCARD","Type A","JAPAN","187","113","34",""
"541615","MASTERCARD","Type A","ROMANIA","185","111","34",""
"543199","MASTERCARD","Type A","SAUDI ARABIA","183","110","33",""
"520045","MASTERCARD","Type A","KOREA REPUBLIC OF","181","109","33",""
"540668","MASTERCARD","Type A","TURKEY","181","109","33",""
"517554","MASTERCARD","Type A","UNITED ARAB EMIRATES","180","108","33",""
"540978","MASTERCARD","Type A","UNITED ARAB EMIRATES","177","107","32",""
"529912","MASTERCARD","Type A","ROMANIA","176","106","32",""
"524144","MASTERCARD","Type A","KOREA REPUBLIC OF","174","105","32",""
"518516","MASTERCARD","Type A","GREECE","172","104","31",""
"515594","MASTERCARD","Type A","KOREA REPUBLIC OF","171","103","31",""
"516361","MASTERCARD","Type A","AUSTRALIA","171","103","31",""
"543758","MASTERCARD","Type A","HUNGARY","164","99","30",""
"510008","MASTERCARD","Type A","NETHERLANDS","163","98","30",""
"552102","MASTERCARD","Type A","UNITED ARAB EMIRATES","162","98","30",""
"545160","MASTERCARD","Type A","RUSSIAN FEDERATION","161","97","29",""
"529913","MASTERCARD","Type A","ROMANIA","159","96","29",""
"546716","MASTERCARD","Type A","GREECE","158","95","29",""
"557506","MASTERCARD","Type A","POLAND","158","95","29",""
"520988","MASTERCARD","Type A","TURKEY","157","95","29",""
"531344","MASTERCARD","Type A","RUSSIAN FEDERATION","157","95","29",""
"557057","MASTERCARD","Type A","RUSSIAN FEDERATION","157","95","29",""
"535939","MASTERCARD","Type A","DENMARK","156","94","29",""
"552050","MASTERCARD","Type A","KUWAIT","154","93","28",""
"524805","MASTERCARD","Type A","JAPAN","154","93","28",""
"557511","MASTERCARD","Type A","POLAND","150","90","27",""
"552772","MASTERCARD","Type A","ROMANIA","149","90","27",""
"543661","MASTERCARD","Type A","SLOVENIA","147","89","27",""
"552014","MASTERCARD","Type A","KOREA REPUBLIC OF","147","89","27",""
"510136","MASTERCARD","Type A","CZECH REPUBLIC","144","87","26",""
"548901","MASTERCARD","Type A","SPAIN","142","86","26",""
"552213","MASTERCARD","Type A","UNITED KINGDOM","142","86","26",""
"542022","MASTERCARD","Type A","CYPRUS","139","84","26",""
"548700","MASTERCARD","Type A","ROMANIA","138","83","25",""
"540804","MASTERCARD","Type A","HONG KONG","137","83","25",""
"512060","MASTERCARD","Type A","SAUDI ARABIA","136","82","25",""
"548430","MASTERCARD","Type A","RUSSIAN FEDERATION","135","81","25",""
"533491","MASTERCARD","Type A","JAPAN","134","81","25",""
"519123","MASTERCARD","Type A","CANADA","134","81","25",""
"557014","MASTERCARD","Type A","ESTONIA","133","80","24",""
"545708","MASTERCARD","Type A","UKRAINE","131","79","24",""
"526480","MASTERCARD","Type A","ROMANIA","130","78","24",""
"534207","MASTERCARD","Type A","ITALY","128","77","24",""
"531306","MASTERCARD","Type A","UNITED KINGDOM","127","77","23",""
"540806","MASTERCARD","Type A","HONG KONG","125","75","23",""
"557959","MASTERCARD","Type A","RUSSIAN FEDERATION","125","75","23",""
"517745","MASTERCARD","Type A","QATAR","122","74","22",""
"523227","MASTERCARD","Type A","GERMANY","122","74","22",""
"543332","MASTERCARD","Type A","ROMANIA","121","73","22",""
"516053","MASTERCARD","Type A","ALBANIA","121","73","22",""
"541085","MASTERCARD","Type A","CYPRUS","121","73","22",""
"516736","MASTERCARD","Type A","ESTONIA","120","72","22",""
"545182","MASTERCARD","Type A","RUSSIAN FEDERATION","120","72","22",""
"515854","MASTERCARD","Type A","RUSSIAN FEDERATION","119","72","22",""
"518627","MASTERCARD","Type A","PORTUGAL","118","71","22",""
"524347","MASTERCARD","Type A","TURKEY","117","71","22",""
"552146","MASTERCARD","Type A","CYPRUS","117","71","22",""
"552046","MASTERCARD","Type A","TAIWAN PROVINCE OF CHINA","117","71","22",""
"517805","MASTERCARD","Type A","UNITED STATES","116","70","21",""
"554959","MASTERCARD","Type A","KOREA REPUBLIC OF","116","70","21",""
"523926","MASTERCARD","Type A","UNITED ARAB EMIRATES","115","69","21",""
"557883","MASTERCARD","Type A","PORTUGAL","115","69","21",""
"541145","MASTERCARD","Type A","KOREA REPUBLIC OF","114","69","21",""
"524150","MASTERCARD","Type A","QATAR","113","68","21",""
"531838","MASTERCARD","Type A","KOREA REPUBLIC OF","112","68","21",""
"540947","MASTERCARD","Type A","KOREA REPUBLIC OF","112","68","21",""
"518655","MASTERCARD","Type A","ROMANIA","110","66","20",""
"547261","MASTERCARD","Type A","GREECE","109","66","20",""
"524381","MASTERCARD","Type A","RUSSIAN FEDERATION","109","66","20",""
"518803","MASTERCARD","Type A","RUSSIAN FEDERATION","108","65","20",""
"541723","MASTERCARD","Type A","RUSSIAN FEDERATION","108","65","20",""
"510015","MASTERCARD","Type A","GREECE","105","63","19",""
"541233","MASTERCARD","Type A","BULGARIA","105","63","19",""
"525303","MASTERCARD","Type A","UNITED KINGDOM","104","63","19",""
"539731","MASTERCARD","Type A","GREECE","104","63","19",""
"518979","MASTERCARD","Type A","BULGARIA","103","62","19",""
"540205","MASTERCARD","Type A","SPAIN","103","62","19",""
"540223","MASTERCARD","Type A","NEW ZEALAND","103","62","19",""
"539832","MASTERCARD","Type A","ITALY","102","62","19",""
"541496","MASTERCARD","Type A","THAILAND","102","62","19",""
"543267","MASTERCARD","Type A","IRELAND","102","62","19",""
"546258","MASTERCARD","Type A","IRELAND","102","62","19",""
"557505","MASTERCARD","Type A","POLAND","101","61","19",""
"523748","MASTERCARD","Type A","AUSTRALIA","99","60","18",""
"545593","MASTERCARD","Type A","ROMANIA","99","60","18",""
"523970","MASTERCARD","Type A","SAUDI ARABIA","98","59","18",""
"531238","MASTERCARD","Type A","LUXEMBOURG","98","59","18",""
"548440","MASTERCARD","Type A","RUSSIAN FEDERATION","97","59","18",""
"528933","MASTERCARD","Type A","RUSSIAN FEDERATION","97","59","18",""
"557524","MASTERCARD","Type A","POLAND","97","59","18",""
"520310","MASTERCARD","Type A","BULGARIA","96","58","18",""
"510155","MASTERCARD","Type A","GREECE","96","58","18",""
"543554","MASTERCARD","Type A","CZECH REPUBLIC","96","58","18",""
"545042","MASTERCARD","Type A","SLOVENIA","96","58","18",""
"545250","MASTERCARD","Type A","POLAND","96","58","18",""
"518681","MASTERCARD","Type A","RUSSIAN FEDERATION","95","57","18",""
"521153","MASTERCARD","Type A","UKRAINE","95","57","18",""
"543402","MASTERCARD","Type A","CZECH REPUBLIC","95","57","18",""
"544403","MASTERCARD","Type A","HUNGARY","95","57","18",""
"543771","MASTERCARD","Type A","TURKEY","94","57","17",""
"523256","MASTERCARD","Type A","GERMANY","94","57","17",""
"543211","MASTERCARD","Type A","RUSSIAN FEDERATION","94","57","17",""
"510160","MASTERCARD","Type A","ROMANIA","93","56","17",""
"532301","MASTERCARD","Type A","RUSSIAN FEDERATION","92","56","17",""
"545408","MASTERCARD","Type A","KUWAIT","92","56","17",""
"516930","MASTERCARD","Type A","UKRAINE","91","55","17",""
"530774","MASTERCARD","Type A","QATAR","89","54","17",""
"540187","MASTERCARD","Type A","GERMANY","89","54","17",""
"552000","MASTERCARD","Type A","TAIWAN PROVINCE OF CHINA","88","53","16",""
"549001","MASTERCARD","Type A","GERMANY","88","53","16",""
"531207","MASTERCARD","Type A","RUSSIAN FEDERATION","87","53","16",""
"540236","MASTERCARD","Type A","SAUDI ARABIA","87","53","16",""
"552037","MASTERCARD","Type A","HONG KONG","87","53","16",""
"541010","MASTERCARD","Type A","ROMANIA","85","51","16",""
"543074","MASTERCARD","Type A","GREECE","85","51","16",""
"534126","MASTERCARD","Type A","NETHERLANDS","83","50","15",""
"541264","MASTERCARD","Type A","LATVIA","83","50","15",""
"523953","MASTERCARD","Type A","TAIWAN PROVINCE OF CHINA","83","50","15",""
"538811","MASTERCARD","Type A","KOREA REPUBLIC OF","83","50","15",""
"543689","MASTERCARD","Type A","CYPRUS","83","50","15",""
"548454","MASTERCARD","Type A","RUSSIAN FEDERATION","82","50","15",""
"531687","MASTERCARD","Type A","RUSSIAN FEDERATION","82","50","15",""
"548309","MASTERCARD","Type A","RUSSIAN FEDERATION","82","50","15",""
"548696","MASTERCARD","Type A","GERMANY","82","50","15",""
"512717","MASTERCARD","Type A","UNITED ARAB EMIRATES","81","49","15",""
"552053","MASTERCARD","Type A","GREECE","81","49","15",""
"545258","MASTERCARD","Type A","POLAND","80","48","15",""
"552727","MASTERCARD","Type A","PORTUGAL","80","48","15",""
"544434","MASTERCARD","Type A","AUSTRALIA","79","48","15",""
"552176","MASTERCARD","Type A","ISRAEL","79","48","15",""
"510259","MASTERCARD","Type A","POLAND","78","47","15",""
"525500","MASTERCARD","Type A","ITALY","78","47","15",""
"547927","MASTERCARD","Type A","RUSSIAN FEDERATION","78","47","15",""
"542778","MASTERCARD","Type A","SLOVAKIA","77","47","14",""
"558799","MASTERCARD","Type A","BELGIUM","77","47","14",""
"524104","MASTERCARD","Type A","UNITED ARAB EMIRATES","77","47","14",""
"543678","MASTERCARD","Type A","NEW ZEALAND","76","46","14",""
"548596","MASTERCARD","Type A","KOREA REPUBLIC OF","75","45","14",""
"524836","MASTERCARD","Type A","HUNGARY","75","45","14",""
"558432","MASTERCARD","Type A","ROMANIA","75","45","14",""
"552191","MASTERCARD","Type A","UNITED ARAB EMIRATES","74","45","14",""
"520697","MASTERCARD","Type A","BELGIUM","74","45","14",""
"540669","MASTERCARD","Type A","TURKEY","74","45","14",""
"524137","MASTERCARD","Type A","UNITED ARAB EMIRATES","73","44","14",""
"546252","MASTERCARD","Type A","KOREA REPUBLIC OF","73","44","14",""
"554203","MASTERCARD","Type A","HUNGARY","73","44","14",""
"533317","MASTERCARD","Type A","ITALY","71","43","13",""
"557072","MASTERCARD","Type A","RUSSIAN FEDERATION","70","42","13",""
"510197","MASTERCARD","Type A","SWITZERLAND","69","42","13",""
"521015","MASTERCARD","Type A","JAPAN","69","42","13",""
"535316","MASTERCARD","Type A","AUSTRALIA","69","42","13",""
"544358","MASTERCARD","Type A","SERBIA","69","42","13",""
"548020","MASTERCARD","Type A","KOREA REPUBLIC OF","69","42","13",""
"552164","MASTERCARD","Type A","KOREA REPUBLIC OF","69","42","13",""
"521807","MASTERCARD","Type A","TURKEY","69","42","13",""
"521892","MASTERCARD","Type A","CHILE","69","42","13",""
"541318","MASTERCARD","Type A","KUWAIT","69","42","13",""
"557890","MASTERCARD","Type A","CZECH REPUBLIC","69","42","13",""
"531533","MASTERCARD","Type A","CZECH REPUBLIC","68","41","13",""
"540709","MASTERCARD","Type A","TURKEY","68","41","13",""
"554399","MASTERCARD","Type A","LITHUANIA","68","41","13",""
"523253","MASTERCARD","Type A","GERMANY","68","41","13",""
"540221","MASTERCARD","Type A","NEW ZEALAND","68","41","13",""
"553417","MASTERCARD","Type A","NETHERLANDS","67","41","13",""
"543034","MASTERCARD","Type A","FINLAND","67","41","13",""
"518652","MASTERCARD","Type A","UNITED KINGDOM","66","40","12",""
"536392","MASTERCARD","Type A","RUSSIAN FEDERATION","65","39","12",""
"548952","MASTERCARD","Type A","BELARUS","65","39","12",""
"518988","MASTERCARD","Type A","PORTUGAL","64","39","12",""
"526408","MASTERCARD","Type A","UNITED ARAB EMIRATES","64","39","12",""
"527406","MASTERCARD","Type A","LATVIA","64","39","12",""
"552220","MASTERCARD","Type A","KOREA REPUBLIC OF","63","38","12",""
"512754","MASTERCARD","Type A","TURKEY","62","38","12",""
"513141","MASTERCARD","Type A","FRANCE","62","38","12",""
"518955","MASTERCARD","Type A","ISRAEL","62","38","12",""
"540718","MASTERCARD","Type A","CZECH REPUBLIC","62","38","12",""
"518791","MASTERCARD","Type A","UNITED KINGDOM","61","37","11",""
"554593","MASTERCARD","Type A","ROMANIA","61","37","11",""
"536369","MASTERCARD","Type A","SAUDI ARABIA","60","36","11",""
"530977","MASTERCARD","Type A","PORTUGAL","60","36","11",""
"541592","MASTERCARD","Type A","UNITED KINGDOM","60","36","11",""
"542523","MASTERCARD","Type A","IRELAND","60","36","11",""
"525668","MASTERCARD","Type A","THAILAND","59","36","11",""
"552096","MASTERCARD","Type A","TURKEY","59","36","11",""
"542418","MASTERCARD","Type A","UNITED STATES","59","36","11",""
"543683","MASTERCARD","Type A","SAUDI ARABIA","59","36","11",""
"548442","MASTERCARD","Type A","RUSSIAN FEDERATION","59","36","11",""
"557829","MASTERCARD","Type A","TURKEY","59","36","11",""
"543458","MASTERCARD","Type A","UNITED KINGDOM","58","35","11",""
"541684","MASTERCARD","Type A","QATAR","58","35","11",""
"552678","MASTERCARD","Type A","ROMANIA","58","35","11",""
"524497","MASTERCARD","Type A","QATAR","57","35","11",""
"543065","MASTERCARD","Type A","FINLAND","57","35","11",""
"557509","MASTERCARD","Type A","POLAND","57","35","11",""
"522831","MASTERCARD","Type A","TAIWAN PROVINCE OF CHINA","57","35","11",""
"533875","MASTERCARD","Type A","ITALY","57","35","11",""
"540492","MASTERCARD","Type A","THAILAND","57","35","11",""
"546966","MASTERCARD","Type A","RUSSIAN FEDERATION","57","35","11",""
"548346","MASTERCARD","Type A","GERMANY","57","35","11",""
"516331","MASTERCARD","Type A","RUSSIAN FEDERATION","56","34","11",""
"543073","MASTERCARD","Type A","FINLAND","56","34","11",""
"548213","MASTERCARD","Type A","KOREA REPUBLIC OF","56","34","11",""
"526459","MASTERCARD","Type A","POLAND","56","34","11",""
"524899","MASTERCARD","Type A","ROMANIA","55","33","10",""
"529930","MASTERCARD","Type A","UNITED KINGDOM","55","33","10",""
"530817","MASTERCARD","Type A","BELIZE","55","33","10",""
"542280","MASTERCARD","Type A","POLAND","55","33","10",""
"547058","MASTERCARD","Type A","CROATIA","55","33","10",""
"552157","MASTERCARD","Type A","UNITED KINGDOM","55","33","10",""
"554522","MASTERCARD","Type A","HUNGARY","55","33","10",""
"528063","MASTERCARD","Type A","HUNGARY","55","33","10",""
"544537","MASTERCARD","Type A","HUNGARY","55","33","10",""
"544396","MASTERCARD","Type A","ROMANIA","54","33","10",""
"552115","MASTERCARD","Type A","MALAYSIA","54","33","10",""
"523255","MASTERCARD","Type A","GERMANY","54","33","10",""
"545709","MASTERCARD","Type A","UKRAINE","54","33","10",""
"546528","MASTERCARD","Type A","UNITED STATES","54","33","10",""
"549123","MASTERCARD","Type A","UNITED STATES","54","33","10",""
"556951","MASTERCARD","Type A","UNITED KINGDOM","54","33","10",""
"533666","MASTERCARD","Type A","POLAND","53","32","10",""
"535318","MASTERCARD","Type A","AUSTRALIA","53","32","10",""
"557361","MASTERCARD","Type A","UNITED KINGDOM","53","32","10",""
"518961","MASTERCARD","Type A","RUSSIAN FEDERATION","52","32","10",""
"552199","MASTERCARD","Type A","TAIWAN PROVINCE OF CHINA","52","32","10",""
"523254","MASTERCARD","Type A","GERMANY","52","32","10",""
"532315","MASTERCARD","Type A","RUSSIAN FEDERATION","52","32","10",""
"540720","MASTERCARD","Type A","HUNGARY","52","32","10",""
"549167","MASTERCARD","Type A","BRAZIL","51","31","10",""
"554637","MASTERCARD","Type A","INDIA","51","31","10",""
"520015","MASTERCARD","Type A","BULGARIA","50","30","9",""
"522971","MASTERCARD","Type A","KOREA REPUBLIC OF","50","30","9",""
"527951","MASTERCARD","Type A","JAPAN","50","30","9",""
"557516","MASTERCARD","Type A","POLAND","50","30","9",""
"510020","MASTERCARD","Type A","ITALY","50","30","9",""
"519316","MASTERCARD","Type A","LEBANON","49","30","9",""
"523976","MASTERCARD","Type A","TAIWAN PROVINCE OF CHINA","49","30","9",""
"525413","MASTERCARD","Type A","TURKEY","49","30","9",""
"548866","MASTERCARD","Type A","CROATIA","49","30","9",""
"554586","MASTERCARD","Type A","SLOVENIA","49","30","9",""
"557113","MASTERCARD","Type A","TURKEY","49","30","9",""
"510021","MASTERCARD","Type A","SWITZERLAND","49","30","9",""
"520950","MASTERCARD","Type A","BULGARIA","49","30","9",""
"532660","MASTERCARD","Type A","UNITED ARAB EMIRATES","49","30","9",""
"549138","MASTERCARD","Type A","MEXICO","49","30","9",""
"534924","MASTERCARD","Type A","ITALY","48","29","9",""
"539614","MASTERCARD","Type A","BRAZIL","48","29","9",""
"540058","MASTERCARD","Type A","ITALY","48","29","9",""
"543460","MASTERCARD","Type A","UNITED KINGDOM","48","29","9",""
"554734","MASTERCARD","Type A","ROMANIA","48","29","9",""
"513659","MASTERCARD","Type A","SWITZERLAND","48","29","9",""
"515668","MASTERCARD","Type A","RUSSIAN FEDERATION","48","29","9",""
"518518","MASTERCARD","Type A","GREECE","48","29","9",""
"522988","MASTERCARD","Type A","RUSSIAN FEDERATION","48","29","9",""
"533687","MASTERCARD","Type A","ROMANIA","48","29","9",""
"543429","MASTERCARD","Type A","UNITED KINGDOM","48","29","9",""
"542933","MASTERCARD","Type A","UNITED ARAB EMIRATES","47","29","9",""
"543401","MASTERCARD","Type A","SLOVAKIA","47","29","9",""
"525615","MASTERCARD","Type A","GERMANY","47","29","9",""
"526490","MASTERCARD","Type A","ROMANIA","47","29","9",""
"527801","MASTERCARD","Type A","GREECE","47","29","9",""
"536414","MASTERCARD","Type A","ITALY","47","29","9",""
"545478","MASTERCARD","Type A","NORWAY","47","29","9",""
"557836","MASTERCARD","Type A","PORTUGAL","47","29","9",""
"530232","MASTERCARD","Type A","JAPAN","46","28","9",""
"540054","MASTERCARD","Type A","LUXEMBOURG","46","28","9",""
"513414","MASTERCARD","Type A","FRANCE","46","28","9",""
"523954","MASTERCARD","Type A","SAUDI ARABIA","46","28","9",""
"524197","MASTERCARD","Type A","SAUDI ARABIA","45","27","9",""
"547046","MASTERCARD","Type A","MEXICO","45","27","9",""
"552649","MASTERCARD","Type A","ROMANIA","45","27","9",""
"510082","MASTERCARD","Type A","RUSSIAN FEDERATION","45","27","9",""
"543335","MASTERCARD","Type A","NEW ZEALAND","45","27","9",""
"522660","MASTERCARD","Type A","SWEDEN","44","27","8",""
"522869","MASTERCARD","Type A","KUWAIT","44","27","8",""
"524200","MASTERCARD","Type A","UNITED ARAB EMIRATES","44","27","8",""
"524223","MASTERCARD","Type A","KOREA REPUBLIC OF","44","27","8",""
"541180","MASTERCARD","Type A","HONG KONG","44","27","8",""
"548359","MASTERCARD","Type A","ROMANIA","44","27","8",""
"557100","MASTERCARD","Type A","UKRAINE","44","27","8",""
"512462","MASTERCARD","Type A","KOREA REPUBLIC OF","44","27","8",""
"540061","MASTERCARD","Type A","TURKEY","44","27","8",""
"543101","MASTERCARD","Type A","RUSSIAN FEDERATION","44","27","8",""
"546340","MASTERCARD","Type A","RUSSIAN FEDERATION","44","27","8",""
"557892","MASTERCARD","Type A","DENMARK","44","27","8",""
"512444","MASTERCARD","Type A","RUSSIAN FEDERATION","43","26","8",""
"525087","MASTERCARD","Type A","JAPAN","43","26","8",""
"552147","MASTERCARD","Type A","CYPRUS","43","26","8",""
"552197","MASTERCARD","Type A","TAIWAN PROVINCE OF CHINA","43","26","8",""
"546301","MASTERCARD","Type A","ITALY","43","26","8",""
"554373","MASTERCARD","Type A","RUSSIAN FEDERATION","42","26","8",""
"512464","MASTERCARD","Type A","SAUDI ARABIA","42","26","8",""
"520915","MASTERCARD","Type A","ITALY","42","26","8",""
"526764","MASTERCARD","Type A","CYPRUS","42","26","8",""
"529536","MASTERCARD","Type A","PORTUGAL","42","26","8",""
"530026","MASTERCARD","Type A","BELIZE","42","26","8",""
"540416","MASTERCARD","Type A","ESTONIA","42","26","8",""
"514876","MASTERCARD","Type A","KOREA REPUBLIC OF","41","25","8",""
"522948","MASTERCARD","Type A","UNITED KINGDOM","41","25","8",""
"531289","MASTERCARD","Type A","JAPAN","41","25","8",""
"540445","MASTERCARD","Type A","SWITZERLAND","41","25","8",""
"552113","MASTERCARD","Type A","QATAR","41","25","8",""
"530770","MASTERCARD","Type A","PORTUGAL","41","25","8",""
"547541","MASTERCARD","Type A","CROATIA","41","25","8",""
"552200","MASTERCARD","Type A","MALTA","41","25","8",""
"528285","MASTERCARD","Type A","RUSSIAN FEDERATION","40","24","8",""
"533737","MASTERCARD","Type A","POLAND","40","24","8",""
