Title,Link,Description,Date,Guid,length
European Training Foundation,http://skillspanorama.cedefop.europa.eu/en/useful_resources/european-training-foundation,European Training Foundation2017ETF,"Wed, 25 Oct 2017 14:41:06 +0000",20736 at http://skillspanorama.cedefop.europa.eu,35
Eurodesk,http://skillspanorama.cedefop.europa.eu/en/useful_resources/eurodesk,Eurodesk2017Eurodesk,"Wed, 25 Oct 2017 14:40:06 +0000",20735 at http://skillspanorama.cedefop.europa.eu,20
European Network of Information Centres and National Academic Recognition Information Centres,http://skillspanorama.cedefop.europa.eu/en/useful_resources/european-network-information-centres-and-national-academic-recognition-information,European Network of Information Centres and National Academic Recognition Information Centres2017ENIC-NARIC Networks,"Wed, 25 Oct 2017 14:36:59 +0000",20734 at http://skillspanorama.cedefop.europa.eu,116
Europass,http://skillspanorama.cedefop.europa.eu/en/useful_resources/europass,Europass2017Europass,"Wed, 25 Oct 2017 14:35:20 +0000",20733 at http://skillspanorama.cedefop.europa.eu,20
EURES - European Employment Services ,http://skillspanorama.cedefop.europa.eu/en/useful_resources/eures-european-employment-services,EURES - European Employment Services 2017EURES - The European Job Mobility Portal,"Wed, 25 Oct 2017 13:03:01 +0000",20730 at http://skillspanorama.cedefop.europa.eu,81
Cedefop's Peer learning conference: Do national qualifications frameworks (NQFs) make a difference?,http://skillspanorama.cedefop.europa.eu/en/news/cedefops-peer-learning-conference-do-national-qualifications-frameworks-nqfs-make-difference,"Cedefop&#039;s Peer learning conference: Do national qualifications frameworks  make a difference?Wednesday, October 25, 2017NQF developments in Europe have been rapid.  Latest developments attest to the growing attention qualifications frameworks have been receiving from policy-makers and practitioners.
The purpose of the event is to stimulate an open and critical reflection on the current and future role of NQFs.

Before 2005, qualifications frameworks were in place in 3 European countries – in France, Ireland and UK. By 2017, NQFs have been introduced by all 39 countries taking part in the implementation of the EQF. Given that these NQFs are increasingly operational, questions regarding their added value and their impact are timely: 
Do these national qualifications frameworks make a difference to policies and practices and to the learners and citizens they are supposed to benefit?
Cedefop, in cooperation with the European Commission and Quality and Qualifications Ireland , organises a Peer Learning Conference on the issue of NQF impact. The main aim of the event is to allow policy makers and practitioners to exchange experiences and discuss about the impact and challenges of NQF implementation. The following key questions will be addressed:
What would be lost if your country did not have an NQF?
For whom do NQFs make a difference?
How do NQFs make a difference?
Under which conditions do NQFs make a difference?

What kind of evidence is currently available to provide insights about the impact of NQFs
In Europe?
Internationally?

What kind of evidence may be required in the future to measure and evaluate the impact of NQFs?
What useful base-line data or indicators could help to explain the impact of NQFs and help to maintain political support for NQFs?
Which methodologies are most appropriate for measuring and evaluating the impact of NQFs?

What kind of European cooperation on NQF impact assessment is possible and desirable; can national approaches feed into the overall assessment of the EQF?
Participants are expected to contribute actively to the event and conclusions from the different working sessions will be brought together in a final note to be discussed by the EQF Advisory Group.
Peer learning conference ","Wed, 25 Oct 2017 12:11:58 +0000",20729 at http://skillspanorama.cedefop.europa.eu,2254
Institute for Employment Studies,http://skillspanorama.cedefop.europa.eu/en/useful_resources/institute-employment-studies,Institute for Employment Studies2017IES,"Wed, 25 Oct 2017 12:10:47 +0000",20728 at http://skillspanorama.cedefop.europa.eu,39
Cambridge Econometrics,http://skillspanorama.cedefop.europa.eu/en/useful_resources/cambridge-econometrics,Cambridge Econometrics2017Cambridge Econometrics,"Wed, 25 Oct 2017 12:09:31 +0000",20727 at http://skillspanorama.cedefop.europa.eu,48
Skillsmatch London,http://skillspanorama.cedefop.europa.eu/en/useful_resources/skillsmatch-london,Skillsmatch London2017Skillsmatch London,"Wed, 25 Oct 2017 12:05:13 +0000",20726 at http://skillspanorama.cedefop.europa.eu,40
"Central Office of Labour, Social Affairs and Family",http://skillspanorama.cedefop.europa.eu/en/useful_resources/central-office-labour-social-affairs-and-family,"Central Office of Labour, Social Affairs and Family2017Ústredie Práce, Sociálnych Vecí a Rodiny ","Wed, 25 Oct 2017 11:58:41 +0000",20725 at http://skillspanorama.cedefop.europa.eu,96
National Scientific Research Institute for Labour and Social Protection,http://skillspanorama.cedefop.europa.eu/en/useful_resources/national-scientific-research-institute-labour-and-social-protection,National Scientific Research Institute for Labour and Social Protection2017Institutul National de Cercetare Stiintifica in domeniul Muncii si Protectiei Sociale ,"Wed, 25 Oct 2017 11:47:38 +0000",20724 at http://skillspanorama.cedefop.europa.eu,161
Qualification Needs Anticipation System,http://skillspanorama.cedefop.europa.eu/en/useful_resources/qualification-needs-anticipation-system,Qualification Needs Anticipation System2017Sistema de Antecipação de Necessidades de Qualificação ,"Wed, 25 Oct 2017 10:35:55 +0000",20719 at http://skillspanorama.cedefop.europa.eu,98
National Agency for Vocational Education and Training,http://skillspanorama.cedefop.europa.eu/en/useful_resources/national-agency-vocational-education-and-training,National Agency for Vocational Education and Training2017Agência Nacional para a Qualificação e o Ensino Profissional ,"Wed, 25 Oct 2017 10:26:42 +0000",20718 at http://skillspanorama.cedefop.europa.eu,118
National webportal on learning opportunities,http://skillspanorama.cedefop.europa.eu/en/useful_resources/national-webportal-learning-opportunities,National webportal on learning opportunities2017AIKOS,"Wed, 25 Oct 2017 10:23:43 +0000",20717 at http://skillspanorama.cedefop.europa.eu,53
 Research and Higher Education Monitoring and Analysis Centre,http://skillspanorama.cedefop.europa.eu/en/useful_resources/%C2%A0research-and-higher-education-monitoring-and-analysis-centre, Research and Higher Education Monitoring and Analysis Centre2017MOSTA,"Wed, 25 Oct 2017 10:19:06 +0000",20716 at http://skillspanorama.cedefop.europa.eu,70
Lituanian Labour Exchange,http://skillspanorama.cedefop.europa.eu/en/useful_resources/lituanian-labour-exchange,Lituanian Labour Exchange2017Lietuvos darbo birža prie Socialinės apsaugos ir darbo ministerijos,"Wed, 25 Oct 2017 10:16:23 +0000",20715 at http://skillspanorama.cedefop.europa.eu,96
Higher Education Authority (HEA),http://skillspanorama.cedefop.europa.eu/en/useful_resources/higher-education-authority-hea,Higher Education Authority 2017An túdarás um ard-oideachas,"Wed, 25 Oct 2017 10:13:43 +0000",20714 at http://skillspanorama.cedefop.europa.eu,58
Solas - Further Education and Training  (FET),http://skillspanorama.cedefop.europa.eu/en/useful_resources/solas-further-education-and-training-fet,Solas - Further Education and Training  2017Solas,"Wed, 25 Oct 2017 10:10:36 +0000",20713 at http://skillspanorama.cedefop.europa.eu,49
Institute for Economic and Enterprise Research,http://skillspanorama.cedefop.europa.eu/en/useful_resources/institute-economic-and-enterprise-research,Institute for Economic and Enterprise Research2017Gazdaság- és Vállalkozáskutató Intézet ,"Wed, 25 Oct 2017 10:08:30 +0000",20712 at http://skillspanorama.cedefop.europa.eu,89
Prognos,http://skillspanorama.cedefop.europa.eu/en/useful_resources/prognos,Prognos2017Prognos,"Wed, 25 Oct 2017 10:05:11 +0000",20711 at http://skillspanorama.cedefop.europa.eu,18
Ministerial Statistical Office for Labour and Employment,http://skillspanorama.cedefop.europa.eu/en/useful_resources/ministerial-statistical-office-labour-and-employment,"Ministerial Statistical Office for Labour and Employment2017Direction de l’Animation de la Recherche, des Etudes et des Statistiques ","Wed, 25 Oct 2017 09:56:06 +0000",20710 at http://skillspanorama.cedefop.europa.eu,133
System of Labour Market Monitoring and Future Skills Forecasting ,http://skillspanorama.cedefop.europa.eu/en/useful_resources/system-labour-market-monitoring-and-future-skills-forecasting,System of Labour Market Monitoring and Future Skills Forecasting 2017Oskuste Arendamise koordinatsioonisüsteem ,"Wed, 25 Oct 2017 09:53:41 +0000",20709 at http://skillspanorama.cedefop.europa.eu,111
The Danish Agency for Labour Market and Recruitment ,http://skillspanorama.cedefop.europa.eu/en/useful_resources/danish-agency-labour-market-and-recruitment,The Danish Agency for Labour Market and Recruitment 2017Styrelsen for Arbejdsmarked og Rekruttering,"Wed, 25 Oct 2017 09:51:04 +0000",20708 at http://skillspanorama.cedefop.europa.eu,99
Information System on the Situation of Graduates in the Labour Market (ISA),http://skillspanorama.cedefop.europa.eu/en/useful_resources/information-system-situation-graduates-labour-market-isa,Information System on the Situation of Graduates in the Labour Market 2017Informační systém o uplatnění absolventů škol na trhu práce,"Wed, 25 Oct 2017 09:46:26 +0000",20707 at http://skillspanorama.cedefop.europa.eu,133
Croatian Qualifications Framework,http://skillspanorama.cedefop.europa.eu/en/useful_resources/croatian-qualifications-framework,Croatian Qualifications Framework2017Hrvatski kvalifikacijski okvir ,"Wed, 25 Oct 2017 09:42:28 +0000",20706 at http://skillspanorama.cedefop.europa.eu,68
Public Employment Service Croatia,http://skillspanorama.cedefop.europa.eu/en/useful_resources/public-employment-service-croatia,Public Employment Service Croatia2017Hrvatski zavod za zaposljavanje ,"Wed, 25 Oct 2017 09:38:04 +0000",20705 at http://skillspanorama.cedefop.europa.eu,69
Skill Centres,http://skillspanorama.cedefop.europa.eu/en/useful_resources/skill-centres,Skill Centres2017Le FOREM,"Wed, 25 Oct 2017 09:28:35 +0000",20704 at http://skillspanorama.cedefop.europa.eu,25
Institute of Economic and Social Research,http://skillspanorama.cedefop.europa.eu/en/useful_resources/institute-economic-and-social-research,Institute of Economic and Social Research2017IRES,"Wed, 25 Oct 2017 09:26:15 +0000",20703 at http://skillspanorama.cedefop.europa.eu,49
National Employment Office Belgium,http://skillspanorama.cedefop.europa.eu/en/useful_resources/national-employment-office-belgium,National Employment Office Belgium2017Office National de l'Emploi,"Wed, 25 Oct 2017 09:15:43 +0000",20702 at http://skillspanorama.cedefop.europa.eu,65
The Vienna Institute for International Economic Studies,http://skillspanorama.cedefop.europa.eu/en/useful_resources/vienna-institute-international-economic-studies,The Vienna Institute for International Economic Studies2017Wiener Institut für Internationale Wirtschaftsvergleiche,"Wed, 25 Oct 2017 08:07:36 +0000",20701 at http://skillspanorama.cedefop.europa.eu,115
Institute for advanced studies,http://skillspanorama.cedefop.europa.eu/en/useful_resources/institute-advanced-studies,Institute for advanced studies2017Institut für Höhere Studien,"Tue, 24 Oct 2017 11:09:01 +0000",20695 at http://skillspanorama.cedefop.europa.eu,61
Cedefop on Spain: promoting digital skills for young people,http://skillspanorama.cedefop.europa.eu/en/news/cedefop-spain-promoting-digital-skills-young-people,"Cedefop on Spain: promoting digital skills for young peopleTuesday, October 24, 2017Red.es has launched a call for proposals to develop training programmes oriented to the digital industry and aimed at young people enrolled in the National youth guarantee system. The aim of the call is to develop high level digital skills for ICT professionals in all industry sectors, supporting access into jobs that boost the digital transformation of companies.
Red.es is a public enterprise of the Ministry of Energy, Tourism and Digital Agenda, whose role is to promote the development of the information society in Spain. This initiative is part of the Spanish digital agenda strategy, which has 106 lines of action structured around six axes, the sixth being to promote digital inclusion and literacy and the training of new ICT professionals.
The scheme is endowed with EUR 20 million to subsidise training programmes, with a commitment to hire a minimum of 30% of the trainees for at least six months. Training may include topics such as big data, cybersecurity, cloud computing, innovation methodologies, e-commerce, programming in web and mobile technologies, and digital content. Non-profit organisations and companies with experience in developing training and employment projects on ICT and the digital economy are eligible for grants.
The private sector is developing different initiatives to equip young people with in-demand digital skills. The Digital employment scheme (Empleo Digital) is an initiative of the Telefónica Foundation aimed at unemployed young people aged 18-35. It offers free training, face-to-face and online, in technologies most needed in the labour market: web development with Java, Liferay or PHP, development of mobile applications, programming of video games, and big data. Many companies are engaged in this initiative, supporting students undergoing training and offering recruitment possibilities and paid internships.
Digital skills are a key factor for socioeconomic development and employability. They are vital to participating in the digital economy and society, with digital transformation structurally changing the labour market, the nature of work and even how we live and communicate.
In the digital economy and society index , Spain is weak on the demand side, with low levels of digital skills and internet use; only 54% of Spaniards have basic digital skills. However, it is, strong in the use of digital technologies and in digital public services, the area where Spain performs best.
Europe also lacks sufficient digitally skilled labour to fill job vacancies, despite high unemployment rates. There may be a deficiency of up to 500 000 information and communication technology  professionals in 2020.
Spain: promoting digital skills for young people","Tue, 24 Oct 2017 11:09:01 +0000",20696 at http://skillspanorama.cedefop.europa.eu,2796
Cedefop on Spain: common digital competence framework for teachers,http://skillspanorama.cedefop.europa.eu/en/news/cedefop-spain-common-digital-competence-framework-teachers,"Cedefop on Spain: common digital competence framework for teachersTuesday, October 24, 2017A common framework of digital competence for teachers has been published by the Ministry of Education, available from January 2017. Developing digital competence in education requires integration of ICT in the classroom and teachers properly skilled in that competence.
The Spanish framework (Competencia Digital Docente, CDD 2.0) is based on the European framework for digital competence for citizens , which identifies the main elements of digital competence grouped in five areas: information and data literacy, communication and collaboration, digital content creation, safety, and problem solving.
CDD 2.0 proposes competence descriptors in three levels , subdivided into six levels  for each competence included in the five areas. It is complemented by an online tool for teachers where teachers can create a digital competence passport by continuously self-assessing, updating and listing digital competences gained throughout their professional life until they reach higher standards.
The process started in 2012, with the intention of offering a descriptive reference to be used for training purposes and in evaluation and accreditation processes. It reflects work undertaken by the ministry with the participation of the regions and external experts, such as the IPTS-JRC.
According reports from TALIS  and the European survey of ICT schools in education , Spain was ranked first in ICT training hours per teacher. However, in relevant surveys, teachers assessed their training as insufficient to integrate all available technological means. This paradox suggested the need to rethink the efficacy of teacher ICT training and how best to apply ICT in the classroom.
The importance of digital competence was recognised by the European Parliament and by the European Council recommendation on key competences for lifelong learning (2006) when it identified digital competence as one of eight key competences essential for all individuals in a knowledge-based society.
Spain: common digital competence framework for teachers","Tue, 24 Oct 2017 11:09:01 +0000",20698 at http://skillspanorama.cedefop.europa.eu,2122
European Commission welcomes the Council's endorsement of the European Pillar of Social Rights and its general approach to reform the Posting of Workers Directive,http://skillspanorama.cedefop.europa.eu/en/news/european-commission-welcomes-councils-endorsement-european-pillar-social-rights-and-its-general,"European Commission welcomes the Council&#039;s endorsement of the European Pillar of Social Rights and its general approach to reform the Posting of Workers DirectiveTuesday, October 24, 2017At the Employment, Social Policy, Health and Consumer Affairs Council of 23 October in Luxembourg, EU Ministers of Employment and Social Affairs expressed their unanimous endorsement of the European Pillar of Social Rights.

The Pillar will be proclaimed by the Parliament, the Council and the Commission at the Social Summit for Fair Jobs and Growth, taking place on 17 November in Gothenburg.
The Council also agreed on a general approach regarding the Commission's proposal to revise the rules on the posting of workers.
The political agreement on the posting of workers confirms the Commission's key principle of equal pay for equal work at the same place, setting out that posted workers will generally benefit from the same rules governing pay and working conditions as local workers.
Last week's agreement in the European Parliament's Employment Committee and today's agreement in the Council confirm the strong political commitment from all actors to make our internal labour market fairer and its rules easier to enforce.
Background
A first outline of the Pillar of Social Rights was presented on 8 March 2016, followed by a broad consultation of Member States, EU institutions, social partners, civil society and citizens.
On 26 April 2017 the Commission presented a final text, which contains 20 principles and rights to support fair and well-functioning labour markets and welfare systems, serving as a compass for a renewed process of convergence towards better working and living conditions among EU Member States.
The Commission put forward a formal proposal to amend the 1996 Posted Workers Directive on 8 March 2016. It complements the 2014 Enforcement Directive on Posted Workers, which introduces new instruments to fight fraud and abuse and to improve administrative cooperation between national authorities in charge of posting.
In 2018 the Commission will launch a European Labour Authority with the aim of strengthening cooperation between labour market authorities at all levels and better manage cross-border situations.
The Commission will also propose other initiatives in support of fair mobility, including a European Social Security Number, to make social security rights more visible and  accessible.
Read more here","Mon, 23 Oct 2017 14:09:01 +0000",20690 at http://skillspanorama.cedefop.europa.eu,2438
Cedefop: Vocational education and training in Europe beyond 2020,http://skillspanorama.cedefop.europa.eu/en/news/cedefop-vocational-education-and-training-europe-beyond-2020,"Cedefop: Vocational education and training in Europe beyond 2020Monday, October 23, 2017In recent years, European countries have been working ever more closely together in vocational education and training  against a backdrop of uncertainties linked to globalisation, digitisation, migration and the transition to a greener economy.
In this context, Cedefop is looking further ahead at the main trends in education and training to stimulate debate on European VET cooperation beyond 2020.
According to Cedefop’s new briefing note, there is reason to believe that VET will expand and diversify across Europe in the coming years. Current trends include the development of more practice-oriented and work-related learning formats, across all types of education, vocational and general. In parallel, vocationally-oriented education and training is expanding to higher and lower education levels than the traditional intermediate. These developments in turn entail a risk of growing fragmentation of VET provision.
This is why policy-makers and practitioners need to engage in a broad discussion on the best cooperation and learning approaches to secure sustainability and accessibility of future VET provision. More than ever, VET’s future is inseparable from the future of work.
Download the briefing note for more on Cedefop’s new project on VET’s future.
Download the briefing note here: Vocational education and training in Europe beyond 2020","Mon, 23 Oct 2017 14:09:01 +0000",20692 at http://skillspanorama.cedefop.europa.eu,1442
Cedefop: Promoting skills and careers without borders – WorldSkills conference,http://skillspanorama.cedefop.europa.eu/en/news/cedefop-promoting-skills-and-careers-without-borders-%E2%80%93-worldskills-conference,"Cedefop: Promoting skills and careers without borders – WorldSkills conferenceTuesday, October 24, 2017The 2017 WorldSkills competition took place in Abu Dhabi  with 59 national teams competing in 51 skills areas, spanning from cooking to mechatronics and bricklaying.

For the first time, a separate conference was linked to the main skills competition. The idea was to gather organisations working in skills and create a platform for international dialogue. Cedefop, together with the European Commission and the European Training Foundation , contributed to the conference actively, organising three thematic sessions on the topic of ‘Skills and careers without borders’.
Session one, moderated by the Commission’s Director General of DG Employment Michel Servoz, addressed the challenges related to the matching of skills needs and provisions and how to promote international cooperation in this area. It was pointed out that skills increasingly develop in an international context and that this requires international cooperation, supporting companies and education and training institutions. A key issue emphasised by the panel and the audience was the need to balance technical and occupational with soft or transversal skills. 
Session two, moderated by ETF Director Cesare Onestini, focused on how existing institutions and structures at national level can adapt to skill globalisation. The session demonstrated how countries are becoming increasingly aware of the need to renew their qualifications in light of international trends and challenges.
Session three, moderated by Cedefop Director James Calleja, focused on the actions required for making progress in this area. The discussion underlined that the current notion of recognition as being linked to formal qualifications is too narrow. It was agreed that promoting skills without borders requires a broader perspective where mobility and progress are based on formal qualifications in combination with work and life experiences and attitudes.
Read more here: Promoting skills and careers without borders – WorldSkills conference","Mon, 23 Oct 2017 13:15:01 +0000",20689 at http://skillspanorama.cedefop.europa.eu,2097
Policy Learning Forum on Upskilling pathways: a vision for the future,http://skillspanorama.cedefop.europa.eu/en/news/policy-learning-forum-upskilling-pathways-vision-future,"Policy Learning Forum on Upskilling pathways: a vision for the futureFriday, October 20, 2017In recent years, European countries have been working ever more closely together in vocational education and training  against a backdrop of uncertainties linked to globalisation, digitisation, migration and the transition to a greener economy.
Policy Learning Forum on Upskilling pathways: a vision for the future","Mon, 23 Oct 2017 11:09:01 +0000",20688 at http://skillspanorama.cedefop.europa.eu,407
New Cedefop Briefing note - Skills anticipation: looking to the future,http://skillspanorama.cedefop.europa.eu/en/news/new-cedefop-briefing-note-skills-anticipation-looking-future,"New Cedefop Briefing note - Skills anticipation: looking to the futureMonday, October 23, 2017In recent years, European countries have been working ever more closely together in vocational education and training  against a backdrop of uncertainties linked to globalisation, digitisation, migration and the transition to a greener economy.
In this context, Cedefop is looking further ahead at the main trends in education and training to stimulate debate on European VET cooperation beyond 2020.
According to Cedefop’s new briefing note, there is reason to believe that VET will expand and diversify across Europe in the coming years. Current trends include the development of more practice-oriented and work-related learning formats, across all types of education, vocational and general. In parallel, vocationally-oriented education and training is expanding to higher and lower education levels than the traditional intermediate. These developments in turn entail a risk of growing fragmentation of VET provision.
This is why policy-makers and practitioners need to engage in a broad discussion on the best cooperation and learning approaches to secure sustainability and accessibility of future VET provision. More than ever, VET’s future is inseparable from the future of work.
Download the briefing note for more on Cedefop’s new project on VET’s future.
Read more here: Briefing note - Skills anticipation: looking to the future","Fri, 20 Oct 2017 17:09:01 +0000",20681 at http://skillspanorama.cedefop.europa.eu,1434
